health_key,Country Code,Year,capital_health_expenditure_percent_of_gdp,current_health_expenditure_percent_of_gdp,government_health_expenditure_percent_of_gdp,community_health_workers_per_1000,prevalence_of_hiv,prevalence_of_hiv_male,prevalence_of_hiv_female,adults_with_hiv,children_with_hiv,prevalence_of_overweight_adult,prevalence_of_overweight_children_under_5,prevalence_of_severe_wasting_children_under_5,prevalence_of_stunting_children_under_5,prevalence_of_undernourishment,hospital_beds_per_1000,physicians_per_1000,number_of_stillbirths
71,KEN,2012,,5.61369753,1.81927824,,5.5,1.5,3.2,1200000,160000,23.2,,,,24.9,,0.1825,30019
72,NGA,2013,0.24704842,3.42069316,0.48927841,,1.4,0.4,0.7,1400000,140000,26.9,,,,9,,0.3828,163196
73,CAN,2013,0.48322916,10.40513706,7.3582077,,,,,,,62.7,,,,2.5,2.72,2.4509,1107
74,USA,2013,0.69361621,16.06451797,7.94619036,,0.5,0.2,0.1,1000000,,66.4,,,,2.5,2.89,,11799
75,MEX,2013,0.08809453,5.80923605,3.12253189,,0.3,0.1,0.1,260000,2500,63.3,,,,4.3,1.03,4.311,15793
76,IND,2013,0.28407836,3.74944162,0.86504191,,,,,,,18,,,,15.1,0.49,0.717,463107
77,IDN,2013,0.14210127,2.86934805,0.81686825,,0.3,0.3,0.2,470000,12000,25.7,11.5,6.7,36.4,8.3,0.99,0.3121,55434
78,IRN,2013,0.09092296,5.93868208,2.285882,,0.1,0.1,0.1,65000,650,59.5,,,,5.3,1.5,,11211
79,EGY,2013,,4.91730928,1.43904543,,0.1,0.1,0.1,8500,200,61.5,,,,4.9,0.52,,27745
80,KEN,2013,0.40705428,5.51942158,1.85911059,,5.3,1.5,3.1,1300000,150000,23.7,,,,22.1,,0.1907,29582
81,NGA,2014,0.13496079,3.34840369,0.44593188,,1.4,0.4,0.7,1400000,140000,27.6,1.8,1.8,33.6,9.3,,,165119
82,CAN,2014,0.43591252,10.24852657,7.23180246,,,,,,,63.2,,,,2.5,2.67,2.4961,1114
83,USA,2014,0.64768839,16.25333214,8.23888111,,0.5,0.2,0.1,1100000,,66.9,8.2,0,2.4,2.5,2.83,,11795
84,MEX,2014,0.0933276,5.55341005,2.89231014,,0.3,0.1,0.1,270000,2400,63.9,,,,4.4,1.03,4.4526,15485
85,IND,2014,0.2564413,3.61956549,0.85653549,,,,,,,18.6,,4.6,38.7,14.9,0.52,0.7247,445156
86,IDN,2014,0.10707583,2.96433592,0.99250942,,0.3,0.2,0.2,480000,13000,26.5,,,,7.7,0.94,,53740
87,IRN,2014,0.19252566,6.75900412,3.40468502,,0.1,0.1,0.1,63000,660,60.2,,,,4.9,1.5,1.5044,11213
88,EGY,2014,,5.02518845,1.48455393,,0.1,0.1,0.1,9900,200,62.2,15.7,4.8,22.3,4.6,1.56,0.7876,27083
89,KEN,2014,,5.4593358,2.04217196,,5.2,1.5,3,1300000,140000,24.3,4.1,1,26.2,20.9,,0.1959,29296
90,NGA,2015,0.03564164,3.58194971,0.58907843,,1.4,0.3,0.6,1500000,130000,28.3,1.6,1.8,33,9.2,,,166992
91,CAN,2015,0.45552984,10.73320484,7.58065939,,,,,,,63.7,,,,2.5,2.62,2.5388,1097
92,USA,2015,0.64494258,16.52407265,8.45250511,,0.5,0.1,0.1,1100000,,67.4,,,,2.5,2.8,,11810
93,MEX,2015,0.07663224,5.72277403,2.98734331,,0.3,0.1,0.1,280000,2400,64.4,5.2,0.4,12.4,5,1,4.6493,15333
94,IND,2015,0.24175881,3.59565997,0.92193186,,,,,,,19.1,2.4,7.7,37.9,14.7,0.58,0.7329,421034
95,IDN,2015,0.18466645,2.92428517,1.15799761,0,0.3,0.2,0.2,500000,14000,27.4,,,,7,0.98,0.2738,51944
96,IRN,2015,,7.53802347,3.91176152,,0.1,0.1,0.1,61000,680,60.9,,,,4.7,1.5,1.1526,11120
97,EGY,2015,,5.33657265,1.66732967,,0.1,0.1,0.1,12000,200,62.8,,,,4.4,1.56,0.8217,26474
98,KEN,2015,,5.21938562,2.10761213,,5,1.5,2.9,1300000,130000,24.9,,,,21.5,,,29221
99,NGA,2016,0.18983622,3.64773679,0.47496936,,1.4,0.3,0.6,1500000,130000,28.9,1.5,2.9,43.6,9.4,,0.4494,168443
100,CAN,2016,0.42354,11.02296066,7.67784119,,,,,,,64.1,,,,2.5,2.6,2.3105,1087
101,USA,2016,0.63860589,16.84432411,8.55732727,,0.4,0.1,0.1,1100000,,67.9,9.4,0.1,3.5,2.5,2.77,,11849
102,MEX,2016,0.08285465,5.55345869,2.84779787,,0.3,0.1,0.1,290000,2300,64.9,5.3,0.3,10,5.8,1,4.6488,15271
103,IND,2016,0.27061391,3.50430417,0.94049966,0.581,,,,,,19.7,,,,14.2,0.48,0.759,396509
104,IDN,2016,0.19835544,3.02147222,1.37558305,,0.4,0.2,0.2,510000,15000,28.2,,,,6.8,0.99,,50229
105,IRN,2016,,8.57090187,4.33774042,,0.1,0.1,0.1,59000,690,61.6,,,,4.9,1.7,,11022
106,EGY,2016,,5.36399841,1.65568364,,0.1,0.1,0.1,13000,500,63.5,,,,4.6,1.43,0.8214,25745
107,KEN,2016,0.28558624,5.14090776,2.2007997,,4.9,1.5,2.8,1300000,120000,25.5,,,,23.2,,,29309
108,NGA,2017,0.13156208,3.75336528,0.53265768,,1.4,0.3,0.6,1500000,130000,,,,,10,,,170259
109,CAN,2017,0.38220248,10.83538342,7.56277943,,,,,,,,,,,2.5,2.53,2.6102,1089
110,USA,2017,0.67145181,16.80583572,8.51218987,,0.4,0.1,0.1,1100000,,,,,,2.5,2.87,,11861
111,MEX,2017,0.07024645,5.45759058,2.75801349,,0.3,0.1,0.1,300000,2300,,,,,6.1,0.99,4.7654,15287
112,IND,2017,,2.93597651,0.96734679,,,,,,,,1.6,4.9,34.7,13.8,0.53,0.7779,373106
113,IDN,2017,0.21494839,2.90417194,1.34984493,,0.4,0.2,0.2,510000,16000,,,,,6.4,1.04,0.3767,48540
114,IRN,2017,,8.42790699,4.34650517,,0.1,0.1,0.1,57000,710,,,,,5.2,1.56,1.1292,10855
115,EGY,2017,,5.63305616,1.7446686,,0.1,0.1,0.1,16000,500,,,,,4.9,1.43,0.7993,25016
116,KEN,2017,0.5918228,4.1409831,1.77812445,,4.7,1.4,2.6,1300000,110000,,,,,24.6,,,29552
117,NGA,2018,0.26808563,3.09069371,0.49754339,,1.3,0.3,0.6,1600000,130000,,2.1,1.8,36.8,10.7,,0.3806,170558
118,CAN,2018,0.38234833,10.80637455,7.58277988,,,,,,,,,,,2.5,2.55,2.4251,1083
119,USA,2018,0.66255105,16.68710518,8.47234249,,0.4,0.1,0.1,1200000,,,9.4,0,3.4,2.5,,2.6036,11855
120,MEX,2018,0.08476871,5.37870932,2.6718502,,0.3,0.1,0.1,320000,2300,,,,,6.2,0.98,4.8496,15296
121,IND,2018,,2.95175385,0.8878178,,,,,,,,,,,14,,0.6857,354026
122,IDN,2018,0.19273698,2.86757827,1.395854,,0.4,0.2,0.1,520000,17000,,8,3.5,30.8,6.4,,0.4269,47093
123,IRN,2018,,8.4627676,3.88674212,,0.1,0.1,0.1,55000,710,,,,,5.4,,1.5844,10650
124,EGY,2018,,4.947577,1.42153192,,0.1,0.1,0.1,18000,500,,,,,5.1,,0.769,24174
125,KEN,2018,0.55474472,4.30564117,1.85613954,,4.5,1.3,2.4,1300000,98000,,,,,24.4,,0.1565,29898
126,NGA,2019,0.13931434,3.02666044,0.48264918,,1.3,0.3,0.6,1600000,130000,,,,,14.6,,,171428
127,CAN,2019,0.39864108,10.84447765,7.60929585,,,,,,,,,,,2.5,2.52,2.4425,1072
128,USA,2019,0.67703497,16.76706314,8.52492332,,0.4,0.1,0.1,1200000,,,,,,2.5,,,11844
129,MEX,2019,0.06373785,5.43305254,2.67891455,,0.4,0.1,0.1,330000,2300,,6.3,0.4,14.1,7.2,,,15136
130,IND,2019,,3.0141468,0.9882924,,,,,,,,,,,15.3,,0.9281,340622
131,IDN,2019,0.19167218,2.90493584,1.42157829,,0.4,0.2,0.1,520000,17000,,,,,6.5,,0.4651,45857
132,IRN,2019,,6.71061659,3.32201433,,0.1,0.1,0.1,54000,730,,,,,5.5,,,10367
133,EGY,2019,,4.73997355,1.31698537,,0.1,0.1,0.1,20000,500,,,,,5.4,,0.7463,23527
134,KEN,2019,0.51778948,4.59182692,2.11127639,,4.4,1.3,2.3,1300000,90000,,,,,24.8,,,30030
135,NGA,2020,,,,,1.3,0.3,0.6,1600000,130000,,1.6,1.4,31.5,,,,
136,CAN,2020,,,,,,,,,,,,,,,,,
137,USA,2020,,,,,,,,,,,,,,,,,
138,MEX,2020,,,,,0.4,0.1,0.1,340000,2300,,,,,,,,
139,IND,2020,,,,,,,,,,,,,,,,,
140,IDN,2020,,,,,0.4,0.2,0.1,520000,18000,,,,,,,,
141,IRN,2020,,,,,0.1,0.1,0.1,53000,740,,,,,,,,
142,EGY,2020,,,,,0.1,0.1,0.1,23000,500,,,,,,,,
143,KEN,2020,,,,,4.2,1.2,2.1,1400000,82000,,,,,,,,
