population_key,Country Code,Year,life_expectancy_male,life_expectancy_female,birth_rate,death_rate,growth_rate,fertility_rate,total_population,urban_population,rural_population,population_ages_0_to_14,population_ages_15_to_64,population_ages_65_and_above
57,IND,2011,66.115,68.218,20.495,7.393,1.28851296178524,2.506,1250287939.0,391040056.0,859247883.0,380043059.0,805553067.0,64691813.0
58,IDN,2011,67.485,71.69,20.526,6.579,1.34790440280692,2.471,245115988.0,124016434.0,121099554.0,69917357.0,162834657.0,12363974.0
59,IRN,2011,73.035,75.753,18.335,4.857,1.17582867782158,1.866,74634959.0,53140091.0,21494868.0,17771744.0,52941250.0,3921964.0
60,EGY,2011,68.391,72.787,27.871,6.178,2.11377559615712,3.311,84529251.0,36347578.0,48181673.0,27520562.0,52908712.0,4099977.0
61,KEN,2011,59.74,63.923,34.249,7.07,2.69374364646689,4.248,43178270.0,10349400.0,32828870.0,18652467.0,23683271.0,842532.0
62,NGA,2011,50.596,52.12,41.025,13.942,2.67788556977663,5.802,162805080.0,72230102.0,90574978.0,71835968.0,86485958.0,4483154.0
63,CAN,2012,79.6,83.8,11.0,7.1,1.08581726304756,1.6142,34714222.0,28166078.0,6548144.0,5657280.0,23917884.0,5139058.0
64,USA,2012,76.4,81.2,12.6,8.102,0.733599941250847,1.8805,313877662.0,254614421.0,59263241.0,62220502.0,209090854.0,42566306.0
65,MEX,2012,71.997,77.922,19.488,5.471,1.35529442643505,2.294,117274156.0,91948802.0,25325354.0,33657460.0,76177534.0,7439162.0
66,IND,2012,66.488,68.68,19.923,7.312,1.23148489388617,2.439,1265780243.0,400416922.0,865363321.0,378832737.0,820295461.0,66652045.0
67,IDN,2012,67.784,72.047,20.225,6.518,1.35169978721169,2.455,248451714.0,127396101.0,121055613.0,70249118.0,165487914.0,12714683.0
68,IRN,2012,73.566,76.06,18.533,4.82,1.20517252138084,1.901,75539881.0,54203642.0,21336239.0,17899328.0,53583465.0,4057088.0
69,EGY,2012,68.596,72.97,28.308,6.132,2.21474099517289,3.377,86422240.0,37114895.0,49307345.0,28266115.0,53904414.0,4251711.0
70,KEN,2012,60.466,64.815,33.333,6.73,2.66280780440883,4.123,44343469.0,10809164.0,33534305.0,18998206.0,24468000.0,877263.0
71,NGA,2012,51.019,52.579,40.668,13.623,2.68092955479893,5.758,167228803.0,75664344.0,91564459.0,73893957.0,88719102.0,4615744.0
72,CAN,2013,79.7,83.9,10.8,7.2,1.05659125917789,1.587,35082954.0,28479640.0,6603314.0,5671952.0,24077745.0,5333257.0
73,USA,2013,76.4,81.2,12.4,8.215,0.692860276624581,1.8575,316059947.0,256953576.0,59106371.0,62001634.0,210110037.0,43948276.0
74,MEX,2013,71.958,77.89,19.198,5.572,1.31555760676608,2.27,118827158.0,93515785.0,25311373.0,33693379.0,77469712.0,7664067.0
75,IND,2013,66.84,69.106,19.416,7.251,1.18290421490412,2.381,1280842119.0,409907903.0,870934216.0,376920173.0,835217793.0,68704153.0
76,IDN,2013,68.081,72.383,19.893,6.471,1.34077086414715,2.436,251805314.0,130825451.0,120979863.0,70600834.0,168130541.0,13073939.0
77,IRN,2013,74.038,76.357,18.739,4.799,1.23941932960237,1.945,76481963.0,55292635.0,21189328.0,18112415.0,54164408.0,4205139.0
78,EGY,2013,68.791,73.161,28.518,6.081,2.26795425995553,3.421,88404652.0,37919407.0,50485245.0,29119814.0,54872338.0,4412500.0
79,KEN,2013,61.158,65.647,32.415,6.428,2.61860447776138,3.999,45519986.0,11286225.0,34233761.0,19303072.0,25300655.0,916259.0
80,NGA,2013,51.442,53.042,40.267,13.307,2.67690791037647,5.709,171765819.0,79214960.0,92550859.0,75949286.0,91078088.0,4738445.0
81,CAN,2014,79.8,83.9,10.8,7.3,1.00533757867378,1.5818,35437435.0,28781576.0,6655859.0,5691799.0,24209116.0,5536520.0
82,USA,2014,76.5,81.3,12.5,8.237,0.733361519937424,1.8625,318386329.0,259430732.0,58955597.0,61818661.0,211141263.0,45426405.0
83,MEX,2014,71.943,77.86,18.892,5.67,1.27768636604222,2.243,120355137.0,95072133.0,25283004.0,33707136.0,78734900.0,7913102.0
84,IND,2014,67.167,69.491,18.984,7.212,1.14567340150608,2.333,1295600768.0,419567353.0,876033415.0,374758022.0,849862019.0,70980727.0
85,IDN,2014,68.371,72.698,19.537,6.437,1.31094524538172,2.413,255128076.0,134286663.0,120841413.0,70843582.0,170817349.0,13467145.0
86,IRN,2014,74.435,76.645,18.93,4.795,1.27812132080551,1.993,77465769.0,56418320.0,21047449.0,18398378.0,54696492.0,4370899.0
87,EGY,2014,68.974,73.36,28.475,6.027,2.25925135870425,3.441,90424668.0,38737024.0,51687644.0,29983715.0,55871428.0,4569525.0
88,KEN,2014,61.822,66.415,31.522,6.161,2.55940314494339,3.879,46700063.0,11778223.0,34921840.0,19582398.0,26158516.0,959148.0
89,NGA,2014,51.865,53.506,39.828,12.994,2.66500650321728,5.653,176404931.0,82878565.0,93526366.0,77969441.0,93584269.0,4851221.0
90,CAN,2015,79.9,84.0,10.7,7.4,0.746339477969813,1.563,35702908.0,29011826.0,6691082.0,5709424.0,24261870.0,5731614.0
91,USA,2015,76.3,81.2,12.4,8.44,0.73621730882542,1.8435,320738994.0,261950744.0,58788250.0,61657987.0,212115566.0,46965441.0
92,MEX,2015,71.954,77.837,18.573,5.763,1.24116450246976,2.215,121858251.0,96615314.0,25242937.0,33676708.0,79986921.0,8194622.0
93,IND,2015,67.468,69.835,18.625,7.194,1.11689591278599,2.295,1310152392.0,429428650.0,880723742.0,372623066.0,863969043.0,73560283.0
94,IDN,2015,68.651,72.992,19.165,6.419,1.26782970253157,2.389,258383257.0,137751866.0,120631391.0,70928717.0,173544645.0,13909895.0
95,IRN,2015,74.755,76.922,19.066,4.805,1.31632102523348,2.041,78492208.0,57580314.0,20911894.0,18744296.0,55189326.0,4558586.0
96,EGY,2015,69.144,73.563,28.182,5.971,2.20702533886058,3.436,92442549.0,39551545.0,52891004.0,30795829.0,56930105.0,4716615.0
97,KEN,2015,62.452,67.111,30.688,5.928,2.49176754837837,3.765,47878339.0,12284624.0,35593715.0,19842337.0,27030059.0,1005943.0
98,NGA,2015,52.286,53.967,39.359,12.686,2.64740607245442,5.592,181137454.0,86652535.0,94484919.0,79936872.0,96245480.0,4955102.0
99,CAN,2016,79.9,84.0,10.6,7.4,1.13234865466606,1.5433,36109487.0,29357013.0,6752474.0,5740699.0,24426969.0,5941820.0
100,USA,2016,76.1,81.1,12.2,8.493,0.724676067451429,1.8205,323071755.0,264473000.0,58598755.0,61459046.0,213043139.0,48569570.0
101,MEX,2016,71.99,77.826,18.245,5.851,1.20325950587092,2.186,123333379.0,98145003.0,25188376.0,33676044.0,81180237.0,8477098.0
102,IND,2016,67.745,70.142,18.332,7.195,1.09045932094686,2.266,1324517250.0,439501314.0,885015936.0,369969885.0,877814039.0,76733326.0
103,IDN,2016,68.914,73.264,18.79,6.418,1.22059105826764,2.362,261556386.0,141211677.0,120344709.0,71228822.0,175878309.0,14449254.0
104,IRN,2016,75.007,77.187,19.102,4.821,1.35622574111708,2.083,79563991.0,58781877.0,20782114.0,19121494.0,55736629.0,4705867.0
105,EGY,2016,69.302,73.766,27.677,5.915,2.14522226806526,3.41,94447071.0,40359122.0,54087949.0,31777147.0,57809111.0,4860813.0
106,KEN,2016,63.031,67.721,29.943,5.734,2.42082093780373,3.663,49051531.0,12804902.0,36246629.0,20063033.0,27920965.0,1067533.0
107,NGA,2016,52.696,54.415,38.873,12.39,2.6276751510372,5.526,185960244.0,90531026.0,95429218.0,82019706.0,98834061.0,5106477.0
108,CAN,2017,79.9,84.0,10.3,7.5,1.19968215419992,1.4961,36545295.0,29729597.0,6815698.0,5799752.0,24590405.0,6155138.0
109,USA,2017,76.1,81.1,11.8,8.638,0.63264399508256,1.7655,325122128.0,266788716.0,58333412.0,61313248.0,213677110.0,50131771.0
110,MEX,2017,72.046,77.827,17.918,5.933,1.16396694963579,2.157,124777326.0,99655907.0,25121419.0,33614045.0,82377996.0,8785285.0
111,IND,2017,68.0,70.425,18.083,7.21,1.06335942989132,2.243,1338676779.0,449795398.0,888881381.0,367850970.0,890731260.0,80094549.0
112,IDN,2017,69.156,73.515,18.422,6.433,1.17619742367279,2.336,264650969.0,144655573.0,119995396.0,71230548.0,178383090.0,15037331.0
113,IRN,2017,75.217,77.436,19.011,4.835,1.38533380166753,2.116,80673888.0,60016532.0,20657356.0,19561678.0,56240551.0,4871658.0
114,EGY,2017,69.453,73.967,27.05,5.863,2.09083266789985,3.37,96442590.0,41185808.0,55256782.0,32574004.0,58865210.0,5003376.0
115,KEN,2017,63.539,68.244,29.296,5.582,2.3564774490698,3.572,50221146.0,13339741.0,36881405.0,20264239.0,28823865.0,1133042.0
116,NGA,2017,53.086,54.843,38.384,12.114,2.60766705440125,5.457,190873247.0,94518523.0,96354724.0,84009267.0,101616615.0,5247365.0
117,CAN,2018,80.0,84.2,10.1,7.7,1.412548033188,1.4988,37065178.0,30175132.0,6890046.0,5882337.0,24795767.0,6387074.0
118,USA,2018,76.2,81.2,11.6,8.678,0.526435395564053,1.7295,326838199.0,268844029.0,57994170.0,61148289.0,214024458.0,51665452.0
119,MEX,2018,72.118,77.844,17.602,6.01,1.12641479134149,2.129,126190782.0,101149483.0,25041299.0,33512294.0,83562863.0,9115625.0
120,IND,2018,68.239,70.692,17.857,7.234,1.03782784787162,2.222,1352642283.0,460304169.0,892338114.0,365934400.0,903115190.0,83592693.0
121,IDN,2018,69.375,73.748,18.072,6.465,1.13450697951891,2.311,267670549.0,148088731.0,119581818.0,71069736.0,180922906.0,15677907.0
