education_key,Country Code,Year,public_spending_percent_of_gdp,literacy_rate_adult_total,literacy_rate_adult_male,literacy_rate_adult_female,primary_school_enrollment_percent_of_gross,primary_school_enrollment_percent_of_net,primary_completion_rate,primary_completion_male,primary_completion_female,secondary_school_enrollment_percent_of_gross,secondary_school_enrollment_percent_of_net,tertiary_school_enrollment_percent_of_gross
41,IRN,2009,3.84244990348816,,,,101.852577209473,97.70461,98.1430587768555,99.0322265625,97.2193222045898,82.1612091064453,77.81298,37.9129791259766
42,EGY,2009,,,,,101.382568359375,93.55801,93.5134582519531,94.6616134643555,92.3037567138672,67.1564102172852,,30.5354804992676
43,KEN,2009,,,,,103.914497375488,75.94578,,,,56.760368347168,47.42096,3.99340009689331
44,NGA,2009,,,,,85.3878402709961,64.34126,73.8031997680664,78.9845733642578,68.4417419433594,39.2327995300293,,
45,CAN,2010,5.356369972229,,,,98.6416015625,,,,,102.398483276367,,61.6558494567871
46,USA,2010,,,,,,93.37426,,,,,88.38466,
47,MEX,2010,5.15922021865845,93.0689392089844,94.3839416503906,91.8534164428711,110.633491516113,98.0771,100.239387512207,100.020286560059,100.464401245117,87.0699234008789,70.08479,27.5634708404541
48,IND,2010,3.377690076828,,,,109.101371765137,90.95531,,,,63.1161994934082,,17.8338794708252
49,IDN,2010,2.81227993965149,,,,109.150337219238,94.22952,100.589088439941,,,76.4262466430664,66.64897,24.0762596130371
50,IRN,2010,3.70918011665344,,,,100.653442382813,96.5537,99.4525299072266,100.371566772461,98.4961395263672,80.5879592895508,76.34191,44.1696586608887
51,EGY,2010,3.54264998435974,72.0478515625,80.2686462402344,63.5158081054688,102.285339355469,95.94726,96.0279922485352,96.9602127075195,95.0453796386719,68.90625,,31.4172401428223
52,KEN,2010,5.50822019577026,,,,,,,,,,,
53,NGA,2010,,,,,85.1178512573242,64.13783,73.7924880981445,78.4828414916992,68.9357070922852,44.2182312011719,,9.57199954986572
54,CAN,2011,5.26205015182495,,,,98.1893692016602,,,,,103.348960876465,,63.4673194885254
55,USA,2011,,,,,,92.44255,,,,,89.75284,
56,MEX,2011,5.10564994812012,93.5199813842773,94.7827682495117,92.3382797241211,110.540756225586,97.98488,100.197532653809,100.155639648438,100.240592956543,88.1901779174805,70.65515,28.3414993286133
57,IND,2011,3.79618000984192,69.3025588989258,78.8772277832031,59.2773208618164,108.323356628418,90.37191,92.7633590698242,92.0190505981445,93.6002883911133,66.2507019042969,,22.7646503448486
58,IDN,2011,3.18944001197815,92.8119125366211,95.5910873413086,90.0687026977539,109.179832458496,93.73808,,,,79.1144790649414,72.91917,26.3031997680664
59,IRN,2011,3.48497009277344,,,,100.732803344727,96.70394,98.7884063720703,99.6872329711914,97.8520812988281,82.9912490844727,78.61445,50.0055313110352
60,EGY,2011,3.34430003166199,,,,99.1844863891602,93.51389,,,,77.6014404296875,,26.817720413208
61,KEN,2011,5.33528995513916,,,,,,,,,,,
62,NGA,2011,,,,,90.6712417602539,,,,,45.5565299987793,,10.1744298934937
63,CAN,2012,,,,,99.5182800292969,99.45167,,,,109.987487792969,92.14326,63.980770111084
64,USA,2012,,,,,,92.79303,,,,,89.29903,
