life_quality_key,Country Code,Year,basic_drinking_water_rate,basic_drinking_water_rate_rural,basic_drinking_water_rate_urban,safe_drinking_water_rate,safe_drinking_water_rate_rural,safe_drinking_water_rate_urban,basic_handwashing_facilities_rate,basic_handwashing_facilities_rate_rural,basic_handwashing_facilities_rate_urban,open_defecation_rate,open_defecation_rate_rural,open_defecation_rate_urban
34,KEN,2008,53.22295134,43.27043667,86.92181762,,,59.70021525,,,,13.95785394,17.38003344,2.370473934
35,NGA,2008,56.52746381,42.43545248,76.22762472,17.12444944,12.86790536,23.07495583,,,,23.40012045,31.91910567,11.49086379
36,CAN,2009,99.23635504,98.44974385,99.42378064,98.47926264,,,,,,0,0,0
37,USA,2009,98.88203953,95.51131593,99.69304221,95.27552413,,96.41144911,,,,0,0,0
38,MEX,2009,95.36710258,87.22624414,97.72787166,41.16482643,,,,,,4.966066408,14.75805027,2.12649252
39,IND,2009,85.18237554,81.7051715,93.07341273,,41.63932629,,,,,46.83967414,60.81090161,15.13389139
40,IDN,2009,83.57565413,74.60045358,92.86723523,,,,70.44077974,58.38390598,82.92266464,19.73504906,30.20880959,8.892082959
41,IRN,2009,95.87159996,90.16302337,98.31288985,92.2142408,83.76995394,95.82546728,,,,0.453922929,1.43,0.0365
42,EGY,2009,98.62161863,98.02970876,99.404996,,,,79.46961607,71.59920521,89.88590083,0.825209204,1.086404085,0.479524551
43,KEN,2009,53.94504418,43.99145323,86.9263229,,,59.49813938,,,,13.4909379,16.87369358,2.282158242
44,NGA,2009,58.26564123,43.98823277,77.51271866,17.53024971,13.27439961,23.26747273,,,,23.00504171,31.73285807,11.23925399
45,CAN,2010,99.23634886,98.51081905,99.40723034,98.53806358,,,,,,0,0,0
46,USA,2010,98.97895208,95.88944969,99.71441514,95.46778236,,96.50727218,,,,0,0,0
47,MEX,2010,95.82133427,88.23631912,97.98381853,41.36089371,,,,,,4.497791888,13.46191653,1.942126749
48,IND,2010,85.68425222,82.35072067,93.12839152,,43.11150404,,66.89906807,60.0113582,82.28006598,43.87389884,57.31974492,13.84789081
49,IDN,2010,84.43671954,75.60764453,93.29621877,,,,70.63218206,58.38390598,82.92266464,18.39943063,28.47658149,8.287554795
